id_factura,id_estudiante,residencia,concepto,importe,fecha_emision,fecha_vencimiento,estado,fecha_pago_real
FAC-2025-000001,EST-0001,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000002,EST-0002,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000003,EST-0003,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000004,EST-0004,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000005,EST-0005,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000006,EST-0006,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000007,EST-0007,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000008,EST-0008,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000009,EST-0009,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000010,EST-0010,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000011,EST-0011,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000012,EST-0012,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000013,EST-0013,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000014,EST-0014,Residencia Standard 14,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000015,EST-0015,Residencia Standard 15,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-27
FAC-2025-000016,EST-0016,Residencia LowCost 16,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000017,EST-0017,Residencia LowCost 17,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000018,EST-0018,Residencia LowCost 18,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000019,EST-0019,Residencia LowCost 19,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000020,EST-0020,Residencia LowCost 20,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000021,EST-0021,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-04
